SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-4-2017,Single Family Residential,17927 35th Ave SE,Bothell,WA,98012,500000,4,2.25,North Creek,2016,84283,1935,46,248,,Sold,,,http://www.redfin.com/WA/Bothell/17927-35th-Ave-SE-98012/home/2495281,NWMLS,779019,N,Y,47.835079,-122.185014
PAST SALE,December-29-2017,Single Family Residential,18202 3rd Dr SE Unit NC 4,Bothell,WA,98012,569930,3,2.5,North Creek,1906,4795,2017,21,299,,Sold,,,http://www.redfin.com/WA/Bothell/18202-3rd-Dr-SE-98012/unit-NC-4/home/106177996,NWMLS,956513,N,Y,47.8332419,-122.2270735
PAST SALE,January-9-2018,Single Family Residential,18323 44th. Dr SE,Bothell,WA,98012,536730,2,3,North Creek,1760,3173,2016,10,305,85,Sold,,,http://www.redfin.com/WA/Bothell/18323-44th-Dr-SE-98012/home/108287473,NWMLS,974036,N,Y,47.8315616,-122.1741781
PAST SALE,December-29-2017,Single Family Residential,23214 24th Ave SE,Bothell,WA,98021,981850,6,4,Bothell,3713,9947,2016,21,264,62,Sold,,,http://www.redfin.com/WA/Bothell/23214-24th-Ave-SE-98012/home/108518720,NWMLS,1054291,N,Y,47.7816226,-122.1999337
PAST SALE,October-27-2017,Single Family Residential,4318 lot 49 224TH ST SE,Bothell,WA,98021,706905,4,2.75,Canyon Park,2518,3580,2017,84,281,102,Sold,,,http://www.redfin.com/WA/Bothell/49-224th-St-SE-98021/home/111247967,NWMLS,1056272,N,Y,47.7949544,-122.2327104
PAST SALE,November-21-2017,Single Family Residential,4317 lot 54 224TH PL SE SE,Bothell,WA,98021,688395,3,2.5,Canyon Park,2256,5068,2017,59,305,102,Sold,,,http://www.redfin.com/WA/Bothell/4317-224th-St-SE-98021/home/111252839,NWMLS,1056480,N,Y,47.7942419,-122.1742713
PAST SALE,December-15-2017,Single Family Residential,13551 NE 203rd Ct #8,Woodinville,WA,98072,974065,5,4.75,Woodinville,3507,5508,2017,35,278,100,Sold,,,http://www.redfin.com/WA/Woodinville/13551-NE-203rd-Ct-98072/unit-8/home/112396896,NWMLS,1060369,N,Y,47.7745385,-122.1674703
PAST SALE,December-12-2017,Single Family Residential,13545 NE 203rd Ct #7,Woodinville,WA,98072,1123017,5,4,Woodinville,4211,7723,2017,38,267,100,Sold,,,http://www.redfin.com/WA/Woodinville/13545-NE-203rd-Ct-98072/unit-7/home/112400205,NWMLS,1060483,N,Y,47.7745385,-122.1674703
PAST SALE,October-25-2017,Single Family Residential,18317 43rd. Dr SE,Bothell,WA,98012,545670,4,3.5,North Creek,2335,2849,2017,86,234,85,Sold,,,http://www.redfin.com/WA/Bothell/18317-43rd-Dr-SE-98012/home/108957786,NWMLS,1063077,N,Y,47.8289,-122.1723
PAST SALE,October-24-2017,Single Family Residential,18302 43rd. Dr SE,Bothell,WA,98012,532745,3,3.5,North Creek,1939,3688,2017,87,275,85,Sold,,,http://www.redfin.com/WA/Bothell/18302-43rd-Dr-SE-98012/home/113008178,NWMLS,1073987,N,Y,47.8645828,-122.1734427
PAST SALE,October-26-2017,Single Family Residential,18317 44th. Dr SE,Bothell,WA,98012,557625,4,3.25,North Creek,1939,3736,2017,85,288,85,Sold,,,http://www.redfin.com/WA/Bothell/18317-44th-Dr-SE-98012/home/112859128,NWMLS,1073990,N,Y,47.8289,-122.1723
PAST SALE,October-23-2017,Single Family Residential,18327 44th. Dr SE,Bothell,WA,98012,558728,3,3.25,North Creek,1939,3707,2017,88,288,85,Sold,,,http://www.redfin.com/WA/Bothell/18327-44th-Dr-SE-98012/home/111089161,NWMLS,1073992,N,Y,47.8289,-122.1723
PAST SALE,January-3-2018,Single Family Residential,18706 44th. Dr SE,Bothell,WA,98012,708619,3,2.5,North Creek,2202,4195,2017,16,322,85,Sold,,,http://www.redfin.com/WA/Bothell/18706-44th-Dr-SE-98012/home/113113140,NWMLS,1079673,N,Y,47.8292763,-122.1731703
PAST SALE,December-8-2017,Single Family Residential,18305 43rd. Dr SE,Bothell,WA,98012,589583,4,3.25,North Creek,1939,3175,2017,42,304,85,Sold,,,http://www.redfin.com/WA/Bothell/18305-43rd-Dr-SE-98012/home/113036313,NWMLS,1080139,N,Y,47.8289,-122.1723
PAST SALE,November-21-2017,Single Family Residential,104 175th Place SE,Bothell,WA,98012,624990,4,2.5,Bothell,2566,4488,2017,59,244,,Sold,,,http://www.redfin.com/WA/Bothell/104-175th-Pl-SE-98012/home/113281646,NWMLS,1085717,N,Y,47.8387904,-122.2078479
PAST SALE,October-26-2017,Single Family Residential,24 175th Place SE,Bothell,WA,98012,626990,3,3,Bothell,2614,3769,2017,85,240,,Sold,,,http://www.redfin.com/WA/Bothell/24-175th-Pl-SE-98012/home/113281659,NWMLS,1085722,N,Y,47.8387904,-122.2078479
PAST SALE,November-17-2017,Single Family Residential,28 175th Place SE,Bothell,WA,98012,649990,4,3,Bothell,2809,4487,2017,63,231,,Sold,,,http://www.redfin.com/WA/Bothell/28-175th-Pl-SE-98012/home/113281671,NWMLS,1085726,N,Y,47.8387904,-122.2078479
PAST SALE,November-9-2017,Single Family Residential,21404 Royal Anne Rd,Bothell,WA,98021,541000,5,3,Thrashers Corner,2403,95832,2007,71,225,,Sold,,,http://www.redfin.com/WA/Bothell/21404-Royal-Anne-Rd-98021/home/12490630,NWMLS,1087898,N,Y,47.8042587,-122.2251749
PAST SALE,January-10-2018,Single Family Residential,18713 43rd. Park SE,Bothell,WA,98012,603735,4,2.25,North Creek,1876,2665,2017,9,322,85,Sold,,,http://www.redfin.com/WA/Bothell/18713-43rd-Park-SE-98012/home/113439442,NWMLS,1092109,N,Y,47.829285,-122.1745393
PAST SALE,December-5-2017,Single Family Residential,18718 43rd. Park SE,Bothell,WA,98012,658536,4,2.25,North Creek,2214,3478,2017,45,297,85,Sold,,,http://www.redfin.com/WA/Bothell/18718-43rd-Park-SE-98012/home/113439486,NWMLS,1092116,N,Y,47.829285,-122.1745393
PAST SALE,January-15-2018,Single Family Residential,18730 43rd. Park SE,Bothell,WA,98012,609218,4,2.25,North Creek,1838,2811,2017,4,331,85,Sold,,,http://www.redfin.com/WA/Bothell/18730-43rd-Park-SE-98012/home/113439513,NWMLS,1092121,N,Y,47.829285,-122.1745393
PAST SALE,November-28-2017,Single Family Residential,18719 43rd. Park SE,Bothell,WA,98012,634562,4,2.25,North Creek,2186,3100,2017,52,290,85,Sold,,,http://www.redfin.com/WA/Bothell/18719-43rd-Park-SE-98012/home/113439549,NWMLS,1092130,N,Y,47.828941,-122.172578
PAST SALE,December-21-2017,Single Family Residential,7 175th Place SW,Bothell,WA,98012,705547,3,3,Bothell,2614,4349,2017,29,270,,Sold,,,http://www.redfin.com/WA/Bothell/7-175th-Pl-SW-98012/home/113752145,NWMLS,1102581,N,Y,47.839249,-122.235619
PAST SALE,November-7-2017,Single Family Residential,4406 237th Place SE #128,Bothell,WA,98021,824950,5,3.25,Kenmore,3222,3607,2017,73,256,,Sold,,,http://www.redfin.com/WA/Bothell/4406-237th-Pl-SE-98021/unit-128/home/113723430,NWMLS,1105918,N,Y,47.7840874,-122.1738753
PAST SALE,December-14-2017,Single Family Residential,16614 122nd Place NE,Bothell,WA,98011,980250,4,4.5,Cherry Hill,3908,10025,2017,36,251,,Sold,,,http://www.redfin.com/WA/Bothell/16614-122nd-Pl-NE-98011/home/113995206,NWMLS,1107679,N,Y,47.748852,-122.176362
PAST SALE,December-22-2017,Single Family Residential,16610 122nd Place NE,Bothell,WA,98011,1029095,4,4.5,Cherry Hill,3908,10295,2017,28,263,,Sold,,,http://www.redfin.com/WA/Bothell/16610-122nd-Pl-NE-98011/home/113995205,NWMLS,1111321,N,Y,47.748639,-122.176369
PAST SALE,November-3-2017,Single Family Residential,4110 174th St SE #3,Bothell,WA,98012,777450,4,3.25,Bothell,3183,4775,2017,77,244,34,Sold,,,http://www.redfin.com/WA/Bothell/4110-174th-St-SE-98012/unit-3/home/113846864,NWMLS,1115589,N,Y,47.839669,-122.177245
PAST SALE,November-29-2017,Single Family Residential,4422 237th Place SE #134,Bothell,WA,98021,799950,5,3.25,Bothell,3222,3607,2017,51,248,,Sold,,,http://www.redfin.com/WA/Bothell/4422-237th-Pl-SE-98021/home/113865889,NWMLS,1118776,N,Y,47.7840874,-122.1738753
PAST SALE,December-20-2017,Single Family Residential,22410 Lot 3 43RD DR SE,Bothell,WA,98021,688190,4,3,Canyon Park,2256,3600,2017,30,305,102,Sold,,,http://www.redfin.com/WA/Bothell/22410-43rd-Dr-SE-98021/home/113896046,NWMLS,1122154,N,Y,47.7949019,-122.1752504
PAST SALE,October-27-2017,Single Family Residential,4314 Lot 50 224TH ST SE,Bothell,WA,98021,786080,4,3,Canyon Park,2819,3570,2017,84,279,102,Sold,,,http://www.redfin.com/WA/Bothell/50-224th-St-SE-98021/home/113896071,NWMLS,1122165,N,Y,47.794752,-122.2321125
PAST SALE,November-27-2017,Single Family Residential,4313 Lot 53 224TH PL SE,Bothell,WA,98021,751644,5,2.75,Canyon Park,2819,3615,2017,53,267,102,Sold,,,http://www.redfin.com/WA/Bothell/53-224th-St-SE-98021/home/113896144,NWMLS,1122199,N,Y,47.7949536,-122.2326499
PAST SALE,December-7-2017,Single Family Residential,4320 Lot 58 224TH PL SE,Bothell,WA,98021,776297,5,2.75,Canyon Park,2819,4462,2017,43,275,102,Sold,,,http://www.redfin.com/WA/Bothell/58-224th-St-SE-98021/home/113896203,NWMLS,1122233,N,Y,47.7947514,-122.2320679
PAST SALE,December-8-2017,Single Family Residential,4321 Lot 55 224TH PL SE,Bothell,WA,98021,700714,4,3,Canyon Park,2256,3600,2017,42,311,102,Sold,,,http://www.redfin.com/WA/Bothell/55-224th-St-SE-98021/home/113896259,NWMLS,1122259,N,Y,47.7949533,-122.2326196
PAST SALE,November-1-2017,Single Family Residential,4323 Lot 21 224TH ST SE,Bothell,WA,98021,704857,3,2.5,Canyon Park,2256,3600,2017,79,312,102,Sold,,,http://www.redfin.com/WA/Bothell/4323-224th-St-SE-98021/home/113896298,NWMLS,1122287,N,Y,47.7944929,-122.1742851
PAST SALE,October-27-2017,Single Family Residential,4403 236th Place SE #116,Bothell,WA,98021,829950,5,3,Bothell,2825,3878,2017,84,294,,Sold,,,http://www.redfin.com/WA/Bothell/4403-236th-Pl-SE-98021/unit-116/home/144404421,NWMLS,1122331,N,Y,47.7830096,-122.1725765
PAST SALE,October-30-2017,Single Family Residential,23528 26th Ave SE,Bothell,WA,98021,970000,5,4.25,Bothell,3600,11879,2017,81,269,60,Sold,,,http://www.redfin.com/WA/Bothell/23528-26th-Ave-SE-98021/home/113972498,NWMLS,1126614,N,Y,47.7789517,-122.1975563
PAST SALE,December-29-2017,Single Family Residential,22414 lot 2 43rd DR SE,Bothell,WA,98021,743450,3,2.5,Canyon Park,2518,3622,2017,21,295,102,Sold,,,http://www.redfin.com/WA/Bothell/22414-43rd-Dr-SE-98021/home/113982892,NWMLS,1129090,N,Y,47.7949019,-122.1752504
