Message #,Word Counter In Dictionary,# of Occurrences of Word,Spam/Ham (1=spam)
1,19,2,0
1,45,1,0
1,50,1,0
1,75,1,0
1,85,1,0
1,139,1,0
1,200,1,0
1,351,1,0
1,352,1,0
1,513,1,0
1,564,1,0
1,743,1,0
1,777,1,0
1,1131,1,0
1,1277,1,0
1,1639,1,0
1,1764,1,0
1,1816,1,0
1,1868,1,0
2,35,5,0
2,97,1,0
2,103,2,0
2,159,1,0
2,294,2,0
2,727,1,0
2,977,2,0
2,1481,1,0
2,1549,1,0
2,1795,1,0
2,2290,3,0
3,4,1,0
3,10,2,0
3,11,1,0
3,13,1,0
3,16,1,0
3,19,2,0
3,35,15,0
3,50,1,0
3,56,1,0
3,68,1,0
3,69,1,0
3,76,2,0
3,84,1,0
3,96,1,0
3,97,1,0
3,118,1,0
3,126,2,0
3,127,6,0
3,178,1,0
3,206,1,0
3,226,1,0
3,242,1,0
3,265,1,0
3,268,1,0
3,270,2,0
3,274,1,0
3,276,1,0
3,293,1,0
3,294,4,0
3,297,1,0
3,303,1,0
3,366,1,0
3,390,1,0
3,393,1,0
3,404,3,0
3,438,1,0
3,452,3,0
3,496,2,0
3,516,3,0
3,559,1,0
3,564,2,0
3,565,1,0
3,574,3,0
3,602,1,0
3,647,1,0
3,671,1,0
3,679,1,0
3,682,1,0
3,794,1,0
3,797,1,0
3,799,1,0
3,816,1,0
3,863,1,0
3,889,2,0
3,938,1,0
3,977,2,0
3,1081,1,0
3,1118,1,0
3,1138,1,0
3,1155,2,0
3,1187,1,0
3,1282,1,0
3,1323,1,0
3,1348,1,0
3,1374,1,0
3,1442,1,0
3,1458,1,0
3,1468,2,0
3,1469,1,0
3,1484,1,0
3,1530,1,0
3,1531,1,0
3,1533,1,0
3,1544,1,0
3,1549,4,0
3,1643,1,0
3,1778,1,0
3,1783,2,0
3,1888,1,0
3,2004,2,0
3,2007,4,0
3,2130,1,0
3,2232,1,0
3,2290,2,0
3,2437,1,0
4,12,1,0
4,31,1,0
4,35,6,0
4,54,4,0
4,69,4,0
4,70,1,0
4,118,1,0
4,147,2,0
4,153,1,0
4,160,1,0
4,218,1,0
4,228,2,0
4,241,1,0
4,347,1,0
4,360,3,0
4,392,1,0
4,410,1,0
4,422,1,0
4,458,1,0
4,461,1,0
4,487,4,0
4,490,2,0
4,524,1,0
4,636,1,0
4,641,1,0
4,644,2,0
4,721,1,0
4,816,1,0
4,823,1,0
4,833,1,0
4,1124,1,0
4,1241,1,0
4,1465,1,0
4,1818,1,0
4,1958,2,0
4,2030,1,0
4,2204,1,0
4,2443,3,0
5,8,1,0
5,10,1,0
5,48,1,0
5,103,1,0
5,131,3,0
5,153,1,0
5,193,1,0
5,277,2,0
5,278,1,0
5,301,1,0
5,342,1,0
5,562,1,0
5,581,1,0
5,610,2,0
5,649,3,0
5,810,1,0
5,924,1,0
5,952,1,0
5,1009,1,0
5,1056,1,0
5,1119,1,0
5,1193,1,0
5,1285,1,0
5,1344,1,0
5,1815,1,0
5,1862,1,0
5,1925,1,0
5,2424,1,0
5,2429,1,0
5,2460,1,0
6,4,1,0
6,16,1,0
6,81,1,0
6,174,1,0
6,314,1,0
6,345,1,0
6,663,1,0
6,895,1,0
6,1340,1,0
7,11,2,0
7,27,1,0
7,32,2,0
7,38,1,0
7,52,4,0
7,81,2,0
7,101,1,0
7,106,1,0
7,109,1,0
7,121,3,0
7,128,1,0
7,133,1,0
7,147,1,0
7,169,1,0
7,171,1,0
7,174,2,0
7,201,1,0
7,231,1,0
7,240,2,0
7,284,2,0
7,296,2,0
7,310,1,0
7,329,2,0
7,333,1,0
7,341,1,0
7,367,1,0
7,371,3,0
7,372,1,0
7,379,1,0
7,388,2,0
7,455,6,0
7,481,3,0
7,492,2,0
7,494,5,0
7,513,1,0
7,538,1,0
7,558,3,0
7,570,1,0
7,594,1,0
7,609,1,0
7,652,1,0
7,657,1,0
7,659,3,0
7,684,1,0
7,725,1,0
7,733,1,0
7,749,1,0
7,770,2,0
7,785,1,0
7,801,1,0
7,806,1,0
7,835,1,0
7,908,1,0
7,963,2,0
7,980,1,0
7,1026,1,0
7,1035,1,0
7,1110,1,0
7,1141,1,0
7,1148,1,0
7,1190,1,0
7,1342,1,0
7,1419,1,0
7,1464,1,0
7,1485,1,0
7,1513,1,0
7,1752,1,0
7,1851,1,0
7,1901,1,0
7,1983,1,0
7,2059,2,0
7,2098,1,0
7,2143,2,0
7,2416,1,0
7,2453,3,0
8,4,1,0
8,8,1,0
8,11,1,0
8,12,1,0
8,22,1,0
8,31,1,0
8,45,1,0
8,47,2,0
8,66,1,0
8,88,1,0
8,100,1,0
8,109,1,0
8,118,1,0
8,123,1,0
8,127,1,0
8,135,1,0
8,149,2,0
8,164,1,0
8,169,1,0
8,174,1,0
8,178,1,0
8,203,1,0
8,221,1,0
8,222,1,0
8,223,1,0
8,230,1,0
8,241,1,0
8,247,1,0
8,254,1,0
8,291,1,0
8,324,3,0
8,326,1,0
8,347,1,0
8,381,1,0
8,384,1,0
8,393,3,0
8,397,2,0
8,432,1,0
8,464,1,0
8,505,1,0
8,519,1,0
8,568,1,0
8,653,1,0
8,698,2,0
8,710,1,0
8,723,1,0
8,743,1,0
8,782,1,0
8,793,4,0
8,826,1,0
8,830,1,0
8,917,1,0
8,918,1,0
8,972,1,0
8,1078,1,0
8,1213,1,0
8,1272,1,0
8,1346,1,0
8,1453,1,0
8,1457,1,0
8,1479,1,0
8,1488,1,0
8,1515,1,0
8,1555,8,0
8,1593,1,0
8,1669,1,0
8,1673,1,0
8,1865,1,0
8,1949,1,0
8,2061,1,0
8,2149,1,0
8,2248,1,0
8,2258,1,0
9,7,1,0
9,11,2,0
9,19,1,0
9,23,1,0
9,25,1,0
9,29,1,0
9,32,1,0
9,40,2,0
9,44,1,0
9,74,1,0
9,79,1,0
9,83,1,0
9,90,1,0
9,103,2,0
9,124,1,0
9,128,1,0
9,131,1,0
9,142,1,0
9,194,1,0
9,202,1,0
9,250,1,0
9,288,1,0
9,295,1,0
9,304,1,0
9,312,1,0
9,338,1,0
9,347,1,0
9,371,1,0
9,418,1,0
9,466,1,0
9,469,1,0
9,541,1,0
9,603,1,0
9,620,1,0
9,749,1,0
9,854,1,0
9,864,2,0
9,915,1,0
9,971,1,0
9,1035,1,0
9,1058,1,0
9,1060,4,0
9,1077,1,0
9,1159,1,0
9,1182,1,0
9,1190,1,0
9,1300,1,0
9,1303,1,0
9,1320,1,0
9,1325,1,0
9,1332,1,0
9,1346,1,0
9,1787,1,0
9,1874,1,0
9,2199,1,0
9,2214,5,0
10,2,1,0
10,4,9,0
10,46,2,0
10,56,1,0
10,60,1,0
10,66,1,0
10,72,1,0
10,103,2,0
10,106,1,0
10,122,1,0
10,127,1,0
10,131,1,0
10,135,2,0
10,147,3,0
10,159,1,0
10,174,1,0
10,182,1,0
10,190,1,0
10,192,1,0
10,203,1,0
10,204,1,0
10,210,1,0
10,222,1,0
10,224,1,0
10,233,4,0
10,236,3,0
10,266,2,0
10,275,1,0
10,288,2,0
10,303,1,0
10,341,3,0
10,347,4,0
10,386,1,0
10,407,1,0
10,429,1,0
10,486,1,0
10,548,2,0
10,590,1,0
10,601,1,0
10,617,1,0
10,619,4,0
10,679,3,0
10,694,1,0
10,832,2,0
10,895,1,0
10,929,1,0
10,952,1,0
10,1077,1,0
10,1174,1,0
10,1224,1,0
10,1266,1,0
10,1677,1,0
10,1874,1,0
10,1891,1,0
11,4,1,0
11,23,1,0
11,29,2,0
11,38,1,0
11,85,1,0
11,128,1,0
11,176,1,0
11,182,1,0
11,247,1,0
11,276,1,0
11,306,1,0
11,469,1,0
11,489,1,0
11,498,1,0
11,536,1,0
11,567,1,0
11,602,1,0
11,661,1,0
11,662,1,0
11,671,1,0
11,691,1,0
11,787,1,0
11,1060,1,0
11,1157,1,0
11,1181,1,0
11,2214,1,0
11,2376,1,0
12,4,1,0
12,14,1,0
12,38,1,0
12,46,1,0
12,103,1,0
12,106,1,0
12,174,1,0
12,191,1,0
12,197,1,0
12,200,1,0
12,708,1,0
12,1159,1,0
12,1690,1,0
12,2172,1,0
13,4,3,0
13,46,2,0
13,50,1,0
13,63,1,0
13,103,2,0
13,236,1,0
13,275,1,0
13,277,1,0
13,291,1,0
